remitente,asunto,mensaje,enlaces,etiqueta
alertas@criptoganancias.cc,¿Quieres ganar $1000? Haz clic aquí para (urgente),¿Quieres ganar $1000? Haz clic aquí para participar.,https://loteria-gratis.win/reclamar-premio,spam
marketing@netflix-pagos.support,"¡Felicitaciones, has sido seleccionado para una beca! (urgente)","¡Felicitaciones, has sido seleccionado para una beca!",https://netflix-pagos.support/oferta,spam
finanzas@casino-oro.fun,Participa en nuestra encuesta y gana un (urgente),Participa en nuestra encuesta y gana un premio.,https://loteria-gratis.win/reclamar-premio,spam
it@ofertasvip.co,¡Gana dinero desde casa con solo hacer (urgente),¡Gana dinero desde casa con solo hacer clic en este enlace!,https://loteria-gratis.win/reclamar-premio,spam
it@ofertasvip.co,"Te hemos seleccionado para un sorteo, haz (urgente)","Te hemos seleccionado para un sorteo, haz clic aquí para participar.",https://ofertasvip.co/oferta,spam
noreply@casino-oro.fun,¡Haz clic aquí y gana una tarjeta (urgente),¡Haz clic aquí y gana una tarjeta de regalo de $100!,https://loteria-gratis.win/reclamar-premio,spam
finanzas@express-premium.delivery,Recuerda que solo quedan 24 horas para (urgente),Recuerda que solo quedan 24 horas para recibir un descuento del 50%.,https://express-premium.delivery/oferta,spam
rrhh@bono-gob.mx.co,¡Compra ahora y recibe un descuento de,¡Compra ahora y recibe un descuento de $100!,https://bono-gob.mx.co/oferta,spam
marketing@netflix-pagos.support,Haz clic aquí para obtener tu descuento (urgente),Haz clic aquí para obtener tu descuento exclusivo.,https://netflix-pagos.support/oferta,spam
envios@express-premium.delivery,"Te has ganado un viaje a París, (urgente)","Te has ganado un viaje a París, haz clic para más detalles.",https://loteria-gratis.win/reclamar-premio,spam
alertas@criptoganancias.cc,¿Quieres ganar $5000? Solo necesitas responder este (urgente),¿Quieres ganar $5000? Solo necesitas responder este mensaje.,https://loteria-gratis.win/reclamar-premio,spam
alertas@netflix-pagos.support,Última oportunidad para obtener una suscripción gratuita. (urgente),Última oportunidad para obtener una suscripción gratuita.,https://netflix-pagos.support/oferta,spam
soporte@netflix-pagos.support,Haz clic para ver tu descuento exclusivo (urgente),Haz clic para ver tu descuento exclusivo de tiempo limitado.,https://netflix-pagos.support/oferta,spam
noreply@casino-oro.fun,¡Felicidades! Has ganado un celular de última (urgente),¡Felicidades! Has ganado un celular de última generación.,https://loteria-gratis.win/reclamar-premio,spam
it@netflix-pagos.support,Participa y gana una laptop nueva. (urgente),Participa y gana una laptop nueva.,https://loteria-gratis.win/reclamar-premio,spam
it@ofertasvip.co,"Este es tu último aviso, haz clic","Este es tu último aviso, haz clic para reclamar tu premio.",https://loteria-gratis.win/reclamar-premio,spam
it@criptoganancias.cc,¡Gana dinero fácil con solo hacer clic (urgente),¡Gana dinero fácil con solo hacer clic aquí!,https://loteria-gratis.win/reclamar-premio,spam
facturacion@netflix-pagos.support,Recuerda que solo tienes 10 minutos para (urgente),Recuerda que solo tienes 10 minutos para aprovechar esta oferta.,https://netflix-pagos.support/oferta,spam
rrhh@casino-oro.fun,Haz clic aquí para ganar un coche (urgente),Haz clic aquí para ganar un coche nuevo.,https://loteria-gratis.win/reclamar-premio,spam
rrhh@loteria-gratis.win,Te invitamos a participar en nuestro programa (urgente),Te invitamos a participar en nuestro programa exclusivo de premios.,https://loteria-gratis.win/reclamar-premio,spam
soporte@ofertasvip.co,¡Gana dinero en efectivo con solo responder (urgente),¡Gana dinero en efectivo con solo responder a este mensaje!,https://loteria-gratis.win/reclamar-premio,spam
noreply@bono-gob.mx.co,¡Aprovecha nuestra oferta y compra ahora con,¡Aprovecha nuestra oferta y compra ahora con un 70% de descuento!,https://bono-gob.mx.co/oferta,spam
rrhh@bono-gob.mx.co,¡Gana premios por solo registrarte en nuestro (urgente),¡Gana premios por solo registrarte en nuestro sitio web!,https://loteria-gratis.win/reclamar-premio,spam
rrhh@express-premium.delivery,Haz clic para obtener más detalles sobre (urgente),Haz clic para obtener más detalles sobre esta increíble oferta.,https://express-premium.delivery/oferta,spam
envios@casino-oro.fun,¡Ganaste un premio! Solo haz clic aquí (urgente),¡Ganaste un premio! Solo haz clic aquí para reclamarlo.,https://loteria-gratis.win/reclamar-premio,spam
alertas@ofertasvip.co,Este es un recordatorio para que ganes (urgente),Este es un recordatorio para que ganes un vale de $50.,https://ofertasvip.co/oferta,spam
envios@loteria-gratis.win,¡Aprovecha nuestra oferta exclusiva y compra ahora!,¡Aprovecha nuestra oferta exclusiva y compra ahora!,https://loteria-gratis.win/oferta,spam
marketing@seguridadbancaria-alerta.com,¡Haz clic ahora y obtén un descuento,¡Haz clic ahora y obtén un descuento en tu compra!,https://seguridadbancaria-alerta.com/oferta,spam
alertas@criptoganancias.cc,Has ganado una tarjeta de regalo de (urgente),Has ganado una tarjeta de regalo de $200.,https://loteria-gratis.win/reclamar-premio,spam
it@ofertasvip.co,¡Participa en nuestro sorteo y gana un (urgente),¡Participa en nuestro sorteo y gana un celular gratis!,https://loteria-gratis.win/reclamar-premio,spam
alertas@criptoganancias.cc,¡Gana un paquete de vacaciones en las (urgente),¡Gana un paquete de vacaciones en las mejores playas del mundo!,https://express-premium.delivery/pagar-tarifa,spam
envios@loteria-gratis.win,Haz clic aquí para obtener tu regalo (urgente),Haz clic aquí para obtener tu regalo sorpresa.,https://loteria-gratis.win/oferta,spam
alertas@seguridadbancaria-alerta.com,¡Participa en el concurso y gana una (urgente),¡Participa en el concurso y gana una consola de videojuegos!,https://loteria-gratis.win/reclamar-premio,spam
noreply@express-premium.delivery,Última oportunidad para ganar un premio de (urgente),Última oportunidad para ganar un premio de $1000.,https://loteria-gratis.win/reclamar-premio,spam
finanzas@bono-gob.mx.co,¡Haz clic aquí para ver los resultados (urgente),¡Haz clic aquí para ver los resultados de tu participación!,https://bono-gob.mx.co/oferta,spam
finanzas@express-premium.delivery,¡Obtén tu cupón de descuento exclusivo solo (urgente),¡Obtén tu cupón de descuento exclusivo solo por hoy!,https://express-premium.delivery/oferta,spam
marketing@criptoganancias.cc,"Te has ganado una laptop, solo confirma (urgente)","Te has ganado una laptop, solo confirma tu dirección.",https://loteria-gratis.win/reclamar-premio,spam
finanzas@loteria-gratis.win,Haz clic aquí para obtener más información (urgente),Haz clic aquí para obtener más información sobre cómo ganar dinero.,https://loteria-gratis.win/reclamar-premio,spam
it@seguridadbancaria-alerta.com,¡Haz clic ahora y gana un increíble,¡Haz clic ahora y gana un increíble premio!,https://loteria-gratis.win/reclamar-premio,spam
promos@express-premium.delivery,Participa en nuestro evento y gana un (urgente),Participa en nuestro evento y gana un coche.,https://loteria-gratis.win/reclamar-premio,spam
finanzas@loteria-gratis.win,¡Recibe un bono de bienvenida de $50 (urgente),¡Recibe un bono de bienvenida de $50 por registrarte!,https://loteria-gratis.win/oferta,spam
promos@bono-gob.mx.co,"Tu cuenta ha sido hackeada, cambia tu (urgente)","Tu cuenta ha sido hackeada, cambia tu contraseña ahora.",https://seguridadbancaria-alerta.com/verificar-cuenta,spam
rrhh@casino-oro.fun,¡Haz clic ahora y gana una tablet!,¡Haz clic ahora y gana una tablet!,https://loteria-gratis.win/reclamar-premio,spam
facturacion@netflix-pagos.support,¡Gana una entrada para el concierto de (urgente),¡Gana una entrada para el concierto de tu banda favorita!,https://loteria-gratis.win/reclamar-premio,spam
it@criptoganancias.cc,Participa en el sorteo de este mes (urgente),Participa en el sorteo de este mes y gana $1000.,https://loteria-gratis.win/reclamar-premio,spam
marketing@seguridadbancaria-alerta.com,¡Haz clic aquí para participar en nuestra (urgente),¡Haz clic aquí para participar en nuestra oferta limitada!,https://seguridadbancaria-alerta.com/oferta,spam
facturacion@netflix-pagos.support,Este es un mensaje exclusivo solo para (urgente),Este es un mensaje exclusivo solo para ti.,https://netflix-pagos.support/oferta,spam
promos@bono-gob.mx.co,¡Haz clic y obtén una sorpresa especial (urgente),¡Haz clic y obtén una sorpresa especial solo hoy!,https://bono-gob.mx.co/oferta,spam
envios@express-premium.delivery,¡Compra ahora y gana un premio increíble!,¡Compra ahora y gana un premio increíble!,https://loteria-gratis.win/reclamar-premio,spam
envios@express-premium.delivery,"¡Solo por hoy, obtén un descuento del","¡Solo por hoy, obtén un descuento del 60% en tu compra!",https://express-premium.delivery/oferta,spam
rrhh@bono-gob.mx.co,Tu oportunidad para ganar un coche está (urgente),Tu oportunidad para ganar un coche está aquí.,https://loteria-gratis.win/reclamar-premio,spam
rrhh@casino-oro.fun,Participa en nuestro concurso y gana un (urgente),Participa en nuestro concurso y gana un viaje a Europa.,https://loteria-gratis.win/reclamar-premio,spam
promos@bono-gob.mx.co,Haz clic ahora para obtener tu premio,Haz clic ahora para obtener tu premio exclusivo.,https://loteria-gratis.win/reclamar-premio,spam
envios@bono-gob.mx.co,¡Recibe una recompensa por completar una encuesta (urgente),¡Recibe una recompensa por completar una encuesta online!,https://bono-gob.mx.co/oferta,spam
finanzas@express-premium.delivery,¡Regístrate y participa para ganar una consola (urgente),¡Regístrate y participa para ganar una consola de videojuegos!,https://loteria-gratis.win/reclamar-premio,spam
envios@casino-oro.fun,Última oportunidad para participar en el sorteo (urgente),Última oportunidad para participar en el sorteo del mes.,https://casino-oro.fun/oferta,spam
marketing@netflix-pagos.support,Haz clic para ver cómo ganar un (urgente),Haz clic para ver cómo ganar un premio grande.,https://loteria-gratis.win/reclamar-premio,spam
noreply@loteria-gratis.win,¡Obtén tu tarjeta de regalo ahora!,¡Obtén tu tarjeta de regalo ahora!,https://loteria-gratis.win/oferta,spam
noreply@bono-gob.mx.co,"¡Gana un coche, solo responde este mensaje! (urgente)","¡Gana un coche, solo responde este mensaje!",https://loteria-gratis.win/reclamar-premio,spam
rrhh@express-premium.delivery,¡Este es tu último aviso para reclamar,¡Este es tu último aviso para reclamar tu premio!,https://loteria-gratis.win/reclamar-premio,spam
promos@express-premium.delivery,¡Haz clic para ganar un iPhone! (urgente),¡Haz clic para ganar un iPhone!,https://loteria-gratis.win/reclamar-premio,spam
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
